release_id,artist,title,year,format,lowest_gbp,num_for_sale
33680523,Gilles Peterson,Gilles Peterson Presents International Anthem,2025,"2xLP, RSD, Comp, Ltd, Fro",18.5,68
11010042,Jamila Woods,Heavn,2017,"LP, Album, Club, Ltd, Cle",17.75,5
13798584,Daphni,Sizzling EP,2019,"12"", EP",8.52,36
1248437,Al Green,Hi Life - The Best Of Al Green,1988,"LP, Comp",9.0,7
19605823,Al-Dos Band,Doing Our Thing With Pride,2021,LP,17.2,42
34248283,"Kenny ""Dope"" Gonzalez Featuring Daniel Rojo",Que Se Sepa ,2025,"7"", Single, Bla",51.63,2
17244949,Andrew Ashong And Kaidi Tatham,Sankofa Season ,2020,"12""",15.49,18
12364621,Fela Kuti & Africa 70,Expensive Shit,0,"LP, Album, RE",23.99,4
3709322,Various,LateNightTales Presents Music For Pleasure,2012,"2xLP, Comp, Ltd, Mixed + CD, Comp, Mixed",47.33,1
6291680,Various,LateNightTales Presents Automatic Soul ,2014,"3xLP, Comp",16.35,32
616889,Sivuca,Ain't No Sunshine,1984,"12""",8.6,10
17985154,"Floating Points, Pharoah Sanders & London Symphony Orchestra",Promises,2021,"LP, Album, Ltd, 180",17.21,61
13346613,Dee Edwards,Why Can't There Be Love / I Can Deal With That,2019,"7"", Single, Ltd",53.98,2
14259217,Darondo,Listen To My Song,2019,"7"", RE",20.0,6
16051697,Various,Disco É Cultura ,2020,"LP, Comp, Ltd, Num, RM, 180",51.63,6
19399870,Andrés,Praises,2021,"12""",12.65,36
129982,Thelma Houston,"You Used To Hold Me So Tight (12"" Version)",1984,"12"", Pin",3.7,23
1139582,Rufus & Chaka Khan,Masterjam,1979,"LP, Album, Gat",8.95,7
5653359,Steely Dan,Aja,0,"LP, Album, RE, Gat",15.0,5
7361475,Steely Dan,Can't Buy A Thrill,0,"LP, Album, RE",17.5,13
9870228,Steely Dan,Gaucho,1980,"LP, Album",25.0,1
1487139,Motor City Drum Ensemble,Raw Cuts # 3 / Raw Cuts # 4,2008,"12""",25.81,25
8846793,Aged In Harmony,You're A Melody,2016,"3x7"", Comp, Ltd, RM",46.47,16
36055231,Various,Melodies Of Love 002,2025,"12""",30.12,2
35604226,Sessa,Pequena Vertigem De Amor,2025,"LP, Album",30.12,2
15302072,"Middle Name Dance Band, Sampology, Sam Stosuur, Megan Christensen",Middle Name Dance Tracks Vol. 2,2020,"12"", EP",8.6,14
13115049,Rokk,Patience / From Within,2019,"7""",14.99,5
18481093,Million Dollar Disco Machine,The Loneliest One,2021,"12"", S/Sided",33.3,10
29883784,Various,The Congregation - Jazz Alliance International,2024,"2xLP, Dlx, Gat",22.46,18
16432593,Los Hermanos,Another Day,2020,"12"", EP",12.04,4
1877994,Eddie Kendricks / Diana Ross,Date With The Rain / The Boss,1988,"12""",4.44,17
556049,Stevie Wonder,Looking Back,1977,"3xLP, Comp, Ltd",0.72,233
5415885,Stevie Wonder,Songs In The Key Of Life ,1976,"2xLP, Gat + 7"", P/Mixed + Album",6.45,27
9401499,Erykah Badu,Baduizm,2016,"2xLP, Album, RE, Gat",11.38,153
19420858,Emma-Jean Thackray,Yellow,2021,"2xLP, Album, Ltd, Cle",11.1,28
6096233,Joyce / Rosinha de Valença,Aldeia De Ogum / Summertime,2014,"7"", Single",10.81,12
6545342,Azymuth / Osmar Milito E Quarteto Forma,Manhã / America Latina,2015,"7""",10.33,18
7314498,Marcos Valle / Lincoln Olivetti & Robson Jorge,Estrelar / Aleluia,2015,"7""",10.33,20
8348348,Evinha,Esperar Pra Ver  ,2016,"7"", Single",8.6,25
9150734,Banda Black Rio,Maria Fumaça  ,2016,"7"", Single",10.08,14
12354229,Neno Exporta Som / Agnaldo Rayol,Deixa A Tristeza / Sumaúma,2019,"7"", Single",8.88,19
14765223,Marcia Maria / Simone (3),Amigo Branco / Tudo Que Você Podia Ser,2019,"7"", Single",33.3,1
30509629,Bill Withers And Studio Rio,Lovely Day,2024,"7"", Single",11.06,41
30172760,Luke Una,Mr Bongo Edits Volume 2,2024,"12""",10.33,58
14000489,Jungle Brown (2),Keep It Movin’ / We On,2019,"7"", Single, Ltd, Promo, W/Lbl",18.5,4
14992332,Gang Starr,Jazz Thing,2020,"7"", RE",8.0,39
